Precision,Network Name,Data Format,Input Shape,Kernel Shape,Stride Size,Batch Size,Pass,Invocations,CUDA Time Avg,TC Time Avg,FP32 FLOPs Avg,FP16 FLOPs Avg,TC FLOPs Avg,FLOPs Avg,FP32 FLOPs Fraction Avg,FP16 FLOPs Fraction Avg,TC FLOPs Fraction Avg,Shared Transactions Avg,L1 Atomic Transactions Avg,Local Transactions Avg,Global Transactions Avg,L1 Transactions Avg,L1 Bytes Avg,L2 Transactions Avg,L2 Bytes Avg,DRAM Transactions Avg,DRAM Bytes Avg,Performance GFlop/s,FP32 Performance GFlop/s,FP16 Performance GFlop/s,TC Performance GFlop/s,L1 AI,FP32 L1 AI,FP16 L1 AI,TC L1 AI,L2 AI,FP32 L2 AI,FP16 L2 AI,TC L2 AI,DRAM AI,FP32 DRAM AI,FP16 DRAM AI,TC DRAM AI
FP16,ResNet50-2,NHWC,112x112x64,7x7x64x64,1,16,backward,540.0,0.12087684563989891,0.11286811319935869,3219292160.0,559022100.0,9728961773305.695,9732740087565.695,0.0003307693548821762,5.7437278194060953e-05,0.9996117933669237,1966209280.0,0.0,1637844.0,6275943123.0,8243790247.0,263801287904.0,5989171266.0,191653480512.0,356998269.0,11423944608.0,80517.81990208654,26.632827345532412,4.624724421295443,86197.61150894276,36.894209899034074,0.0122034740071911,0.0021191029977208975,36.87988732202916,50.783007235583696,0.016797462542290906,0.002916837714121231,50.763292935327286,851.9596708084542,0.2818021506989436,0.048934244622345774,851.6289344131329
FP16,ResNet50-2,NHWC,112x112x64,7x7x64x64,1,16,forward,140.0,0.027198927408565676,0.022037006029116225,513802240.0,559022100.0,1935703063340.0322,1936775887680.0322,0.0002652874001934515,0.00028863540875120295,0.9994460771910554,525405440.0,0.0,1638200.0,1117165900.0,1644209540.0,52614705280.0,1109259413.0,35496301216.0,139508653.0,4464276896.0,71207.80384413576,18.890533155296037,20.553093568827602,87838.74999999997,36.81054331432781,0.009765373335566463,0.010624826215884868,36.79015311477636,54.562752211687574,0.014474810681638093,0.015748742287211043,54.532528658718725,433.83865580008865,0.11509192910062718,0.12522119774893103,433.59834267323913
FP16,ResNet50-2,NHWC,112x112x64,7x7x64x64,2,16,backward,720.0,0.07108819564540442,0.03866646362490919,3410862080.0,1065984020.0,3124434358796.385,3128911204896.385,0.001090111497783125,0.0003406884856086226,0.9985692000166082,483189760.0,0.0,1639124.0,2006908539.0,2491737423.0,79735597536.0,1949081351.0,62370603232.0,621360766.0,19883544512.0,44014.49743504156,47.98070972308466,14.995232475968912,80804.76117768379,39.24108304930813,0.042777155817513283,0.013368985157710978,39.18493690833291,50.16644128416989,0.054687014446735634,0.017091128909477723,50.09466314081368,157.36184275434607,0.17154195409885278,0.05361136790056036,157.13668943234666
FP16,ResNet50-2,NHWC,112x112x64,7x7x64x64,2,16,forward,160.0,0.01966347394327589,0.01031237804378529,128450560.0,534937620.0,707719169436.1523,708382557616.1523,0.00018132936591812987,0.0007551535737979928,0.9990635170602838,131351360.0,0.0,1638756.0,419222393.0,552212509.0,17670800288.0,424951149.0,13598436768.0,295832788.0,9466649216.0,36025.30049673092,6.532444896082307,27.20463441725296,68628.125,40.08774622942263,0.007269085604868107,0.030272404830655512,40.050204738987105,52.09294051233348,0.009445979871912289,0.03933817019753487,52.04415636226403,74.82928134897867,0.013568746139119644,0.05650759923541673,74.75920500360414
FP16,ResNet50-2,NHWC,112x112x64,7x7x64x64,3,16,backward,620.0,0.034502880027989936,0.023085780181440106,2304081920.0,1052467220.0,1696442449395.5425,1699798998535.5425,0.001355502575295712,0.0006191715731723284,0.9980253258515319,261600560.0,0.0,1638472.0,1050474466.0,1313713498.0,42038831936.0,1015238854.0,32487643328.0,354034936.0,11329117952.0,49265.42355758726,66.77940850534357,30.503749807152385,73484.30228749225,40.43402064841668,0.0548084191184888,0.02503559617456256,40.35417663312363,52.321400520626355,0.07092179314878742,0.0323959238709357,52.21808280360663,150.0380705485961,0.20337699102102172,0.09289930817731502,149.74179424939774
FP16,ResNet50-2,NHWC,112x112x64,7x7x64x64,3,16,forward,140.0,0.010462346104838087,0.0053171846444414516,59637760.0,530636820.0,298191038100.67944,298781312680.67944,0.00019960338036180148,0.001776004045363823,0.9980243925742743,60984560.0,0.0,1636764.0,251984707.0,314606031.0,10067392992.0,259234165.0,8295493280.0,179458720.0,5742679040.0,28557.773723669347,5.700228170851832,50.71872165982145,56080.62500000001,29.67812152740083,0.005923853379657557,0.05270846389146303,29.619489210129707,36.01730513133264,0.007189175855736454,0.06396687961634995,35.94614907586055,52.02821028296219,0.010385006646653894,0.0924023119355805,51.925422964379955
FP16,ResNet50-2,NHWC,112x112x64,9x9x64x64,1,16,backward,460.0,0.7568643060468309,0.10547561685244392,5329943592960.0,80524738580.0,9556355118273.96,14966823449813.963,0.3561172222570883,0.0053802157050901085,0.6385025620378215,13931503600.0,317520.0,1637588.0,10678806112.0,24612264820.0,787592474240.0,12762312899.0,408394012768.0,350023224.0,11200743168.0,19774.777764308907,7042.1389281769225,106.39256989220145,90602.50514242463,19.003258587833052,6.767387662132266,0.10224163030214788,12.133629295398638,36.647999191693096,13.050983673425762,0.1971741408112768,23.39984137745605,1336.234857395309,475.85624569871396,7.189231765447084,853.1893799311479
FP16,ResNet50-2,NHWC,112x112x64,9x9x64x64,1,16,forward,140.0,0.04072181380495482,0.03550119631697743,513802240.0,559022100.0,3192045690345.6294,3193118514685.6294,0.00016090922953123935,0.00017507088992437135,0.9996640198805444,862588160.0,0.0,1636392.0,1733721668.0,2597946220.0,83134279040.0,1718697059.0,54998305888.0,136547323.0,4369514336.0,78412.97369463212,12.617371182456592,13.727829086335568,89913.75000000001,38.40916829445604,0.006180389677196628,0.006724327274565368,38.39626357750428,58.05848858668811,0.009342146666232237,0.010164351264535444,58.03898208875734,730.771950643997,0.11758795154116643,0.12793689573101336,730.5264257967249
FP16,ResNet50-2,NHWC,112x112x64,9x9x64x64,2,16,backward,640.0,0.24145353269310768,0.04040167751841581,1334068078864.0,21566309532.0,3505702672173.3125,4861337060569.3125,0.2744241064222292,0.004436291757452087,0.7211396018203187,3422318080.0,26705179.0,1637960.0,2987719021.0,6438380240.0,206028167680.0,7.378697629519476e+20,2.3611832414462324e+22,739331027.0,23658592864.0,20133.63402203011,5525.154525527806,89.31867465948909,86771.21564012658,23.59549723375627,6.475173243961745,0.10467650989109646,17.015647479903425,2.0588563289953422e-10,5.64999808336298e-11,9.133687362100099e-13,1.484722833296944e-10,205.47870655344622,56.38831043472493,0.9115634922149696,148.1788326265063
FP16,ResNet50-2,NHWC,112x112x64,9x9x64x64,2,16,forward,160.0,0.026009793405965077,0.016597426851328975,128450560.0,534937620.0,1165139364963.2937,1165802753143.2937,0.00011018206952562549,0.00045885774292235576,0.9994309601875521,215647040.0,0.0,1638916.0,576321971.0,793607927.0,25395453664.0,580432986.0,18573855552.0,394964418.0,12638861376.0,44821.68446889427,4.938545954407357,20.566776969374835,70199.99999999999,45.90596287696598,0.005058013993350648,0.021064306512402063,45.87984055646023,62.76579194230689,0.006915664851618202,0.028800569623381123,62.730075707831894,92.2395395013227,0.010163143354346416,0.042324826903774405,92.18705153106457
